Date,Rate
2014-01,2.2
2014-02,2.1
2014-03,2
2014-04,1.9
2014-05,1.9
2014-06,1.9
2014-07,2.3
2014-08,2
2014-09,2.2
2014-10,2.1
2014-11,2
2014-12,2.1
2015-01,2.1
2015-02,1.9
2015-03,2
2015-04,1.9
2015-05,2
2015-06,2.7
2015-07,1.8
2015-08,2
2015-09,2.1
2015-10,2.4
2015-11,2.7
2015-12,2.3
2016-01,2.9
2016-02,3.2
2016-03,3.3
2016-04,3.3
2016-05,3.4
2016-06,3.7
2016-07,4.4
2016-08,4
2016-09,3.6
2016-10,3.7
2016-11,3.6
2016-12,3.5
2017-01,2.8
2017-02,2.5
2017-03,2.4
2017-04,2.2
2017-05,2.1
2017-06,1.9
2017-07,1.5
2017-08,1.3
2017-09,1.6
2017-10,1.2
2017-11,1.1
2017-12,1.6
2018-01,1.6
2018-02,2.2
2018-03,2.2
2018-04,2.4
2018-05,2.3
2018-06,2.6
2018-07,3
2018-08,3.4
2018-09,3.4
2018-10,3.1
2018-11,3.5
2018-12,3.5
2019-01,3.1
2019-02,3
2019-03,2.9
2019-04,2.9
2019-05,2.5
2019-06,1.9
2019-07,1.9
2019-08,1.6
2019-09,1.5
2019-10,1.8
2019-11,1.6
2019-12,1.4
2020-01,1.8
2020-02,0.9
2020-03,0.7
2020-04,0.8
2020-05,1.3
2020-06,1.4
2020-07,1.3
2020-08,1.7
2020-09,1.6
2020-10,1.7
2020-11,0.7
2020-12,1.4
2021-01,2.5
2021-02,3.3
2021-03,3.1
2021-04,3
2021-05,2.7
2021-06,2.9
2021-07,3
2021-08,3.4
2021-09,4.1
2021-10,3.5
2021-11,5.1
2021-12,5.3
2022-01,3.2
2022-02,3.7
2022-03,4.5
2022-04,5.4
2022-05,5.7
2022-06,6.3
2022-07,6.8
2022-08,6.5
2022-09,6.9
2022-10,7.5
2022-11,6.5
2022-12,5.9
2023-01,7
2023-02,6.3
2023-03,6.5
2023-04,6.4
2023-05,6.7
2023-06,6.4
2023-07,5.4
2023-08,4.8
2023-09,3.3
2023-10,4
2023-11,4.8
2023-12,4.8
2024-01,4.7
2024-02,4.5
2024-03,3.9
2024-04,3.6
2024-05,3
2024-06,2.6
2024-07,2.8
2024-08,2.6
2024-09,3
2024-10,2.6
2024-11,2.4
2024-12,2.2
2025-01,2.3
2025-02,3.6
