Date,Rate
2014-01,0.5
2014-02,0.5
2014-03,0.5
2014-04,0.5
2014-05,0.5
2014-06,0.5
2014-07,0.5
2014-08,0.5
2014-09,0.5
2014-10,0.5
2014-11,0.5
2014-12,0.5
2014-13,0.5
2014-14,0.5
2014-15,0.5
2014-16,0.5
2014-17,0.5
2014-18,0.5
2014-19,0.5
2014-20,0.5
2014-21,0.5
2014-22,0.5
2014-23,0.5
2014-24,0.5
2014-25,0.5
2014-26,0.5
2014-27,0.5
2014-28,0.5
2014-29,0.5
2014-30,0.5
2014-31,0.5
2014-32,0.5
2014-33,0.5
2014-34,0.5
2014-35,0.5
2014-36,0.5
2014-37,0.5
2014-38,0.5
2014-39,0.5
2014-40,0.5
2014-41,0.5
2014-42,0.5
2014-43,0.5
2014-44,0.5
2014-45,0.5
2014-46,0.5
2014-47,0.5
2014-48,0.5
2014-49,0.5
2014-50,0.25
2014-51,0.25
2014-52,0.25
2015-01,0.25
2015-02,0.25
2015-03,0.25
2015-04,0.25
2015-05,0.25
2015-06,0.25
2015-07,0.25
2015-08,0.25
2015-09,0.25
2015-10,0.25
2015-11,0.25
2015-12,0.25
2015-13,0.25
2015-14,0.25
2015-15,0.25
2015-16,0.25
2015-17,0.25
2015-18,0.25
2015-19,0.25
2015-20,0.25
2015-21,0.25
2015-22,0.25
2015-23,0.25
2015-24,0.25
2015-25,0.0
2015-26,0.0
2015-27,0.0
2015-28,0.0
2015-29,0.0
2015-30,0.0
2015-31,0.0
2015-32,0.0
2015-33,0.0
2015-34,0.0
2015-35,0.0
2015-36,0.0
2015-37,0.0
2015-38,0.0
2015-39,-0.25
2015-40,-0.25
2015-41,-0.25
2015-42,-0.25
2015-43,-0.25
2015-44,-0.25
2015-45,-0.25
2015-46,-0.25
2015-47,-0.25
2015-48,-0.25
2015-49,-0.25
2015-50,-0.25
2015-51,-0.25
2015-52,-0.25
2015-53,-0.25
2016-01,-0.25
2016-02,-0.25
2016-03,-0.25
2016-04,-0.25
2016-05,-0.25
2016-06,-0.25
2016-07,-0.25
2016-08,-0.25
2016-09,-0.25
2016-10,-0.25
2016-11,-0.5
2016-12,-0.5
2016-13,-0.5
2016-14,-0.5
2016-15,-0.5
2016-16,-0.5
2016-17,-0.5
2016-18,-0.5
2016-19,-0.5
2016-20,-0.5
2016-21,-0.5
2016-22,-0.5
2016-23,-0.5
2016-24,-0.5
2016-25,-0.5
2016-26,-0.5
2016-27,-0.5
2016-28,-0.5
2016-29,-0.5
2016-30,-0.5
2016-31,-0.5
2016-32,-0.5
2016-33,-0.5
2016-34,-0.5
2016-35,-0.5
2016-36,-0.5
2016-37,-0.5
2016-38,-0.5
2016-39,-0.5
2016-40,-0.5
2016-41,-0.5
2016-42,-0.5
2016-43,-0.5
2016-44,-0.5
2016-45,-0.5
2016-46,-0.5
2016-47,-0.5
2016-48,-0.5
2016-49,-0.5
2016-50,-0.5
2016-51,-0.5
2016-52,-0.5
2017-01,-0.5
2017-02,-0.5
2017-03,-0.5
2017-04,-0.5
2017-05,-0.5
2017-06,-0.5
2017-07,-0.5
2017-08,-0.5
2017-09,-0.5
2017-10,-0.5
2017-11,-0.5
2017-12,-0.5
2017-13,-0.5
2017-14,-0.5
2017-15,-0.5
2017-16,-0.5
2017-17,-0.5
2017-18,-0.5
2017-19,-0.5
2017-20,-0.5
2017-21,-0.5
2017-22,-0.5
2017-23,-0.5
2017-24,-0.5
2017-25,-0.5
2017-26,-0.5
2017-27,-0.5
2017-28,-0.5
2017-29,-0.5
2017-30,-0.5
2017-31,-0.5
2017-32,-0.5
2017-33,-0.5
2017-34,-0.5
2017-35,-0.5
2017-36,-0.5
2017-37,-0.5
2017-38,-0.5
2017-39,-0.5
2017-40,-0.5
2017-41,-0.5
2017-42,-0.5
2017-43,-0.5
2017-44,-0.5
2017-45,-0.5
2017-46,-0.5
2017-47,-0.5
2017-48,-0.5
2017-49,-0.5
2017-50,-0.5
2017-51,-0.5
2017-52,-0.5
2018-01,-0.5
2018-02,-0.5
2018-03,-0.5
2018-04,-0.5
2018-05,-0.5
2018-06,-0.5
2018-07,-0.5
2018-08,-0.5
2018-09,-0.5
2018-10,-0.5
2018-11,-0.5
2018-12,-0.5
2018-13,-0.5
2018-14,-0.5
2018-15,-0.5
2018-16,-0.5
2018-17,-0.5
2018-18,-0.5
2018-19,-0.5
2018-20,-0.5
2018-21,-0.5
2018-22,-0.5
2018-23,-0.5
2018-24,-0.5
2018-25,-0.5
2018-26,-0.5
2018-27,-0.5
2018-28,-0.5
2018-29,-0.5
2018-30,-0.5
2018-31,-0.5
2018-32,-0.5
2018-33,-0.5
2018-34,-0.5
2018-35,-0.5
2018-36,-0.5
2018-37,-0.5
2018-38,-0.25
2018-39,-0.25
2018-40,-0.25
2018-41,-0.25
2018-42,-0.25
2018-43,-0.25
2018-44,-0.25
2018-45,-0.25
2018-46,-0.25
2018-47,-0.25
2018-48,-0.25
2018-49,-0.25
2018-50,-0.25
2018-51,-0.25
2018-52,-0.25
2019-01,-0.25
2019-02,-0.25
2019-03,-0.25
2019-04,-0.25
2019-05,-0.25
2019-06,-0.25
2019-07,-0.25
2019-08,-0.25
2019-09,-0.25
2019-10,-0.25
2019-11,-0.25
2019-12,0.0
2019-13,0.0
2019-14,0.0
2019-15,0.0
2019-16,0.0
2019-17,0.0
2019-18,0.0
2019-19,0.0
2019-20,0.0
2019-21,0.0
2019-22,0.0
2019-23,0.0
2019-24,0.0
2019-25,0.25
2019-26,0.25
2019-27,0.25
2019-28,0.25
2019-29,0.25
2019-30,0.25
2019-31,0.25
2019-32,0.25
2019-33,0.25
2019-34,0.25
2019-35,0.25
2019-36,0.25
2019-37,0.25
2019-38,0.5
2019-39,0.5
2019-40,0.5
2019-41,0.5
2019-42,0.5
2019-43,0.5
2019-44,0.5
2019-45,0.5
2019-46,0.5
2019-47,0.5
2019-48,0.5
2019-49,0.5
2019-50,0.5
2019-51,0.5
2019-52,0.5
2020-01,0.5
2020-02,0.5
2020-03,0.5
2020-04,0.5
2020-05,0.5
2020-06,0.5
2020-07,0.5
2020-08,0.5
2020-09,0.5
2020-10,0.5
2020-11,0.5
2020-12,0.0
2020-13,-0.75
2020-14,-0.75
2020-15,-0.75
2020-16,-0.75
2020-17,-0.75
2020-18,-0.75
2020-19,-1.0
2020-20,-1.0
2020-21,-1.0
2020-22,-1.0
2020-23,-1.0
2020-24,-1.0
2020-25,-1.0
2020-26,-1.0
2020-27,-1.0
2020-28,-1.0
2020-29,-1.0
2020-30,-1.0
2020-31,-1.0
2020-32,-1.0
2020-33,-1.0
2020-34,-1.0
2020-35,-1.0
2020-36,-1.0
2020-37,-1.0
2020-38,-1.0
2020-39,-1.0
2020-40,-1.0
2020-41,-1.0
2020-42,-1.0
2020-43,-1.0
2020-44,-1.0
2020-45,-1.0
2020-46,-1.0
2020-47,-1.0
2020-48,-1.0
2020-49,-1.0
2020-50,-1.0
2020-51,-1.0
2020-52,-1.0
2020-53,-1.0
2021-01,-1.0
2021-02,-1.0
2021-03,-1.0
2021-04,-1.0
2021-05,-1.0
2021-06,-1.0
2021-07,-1.0
2021-08,-1.0
2021-09,-1.0
2021-10,-1.0
2021-11,-1.0
2021-12,-1.0
2021-13,-1.0
2021-14,-1.0
2021-15,-1.0
2021-16,-1.0
2021-17,-1.0
2021-18,-1.0
2021-19,-1.0
2021-20,-1.0
2021-21,-1.0
2021-22,-1.0
2021-23,-1.0
2021-24,-1.0
2021-25,-1.0
2021-26,-1.0
2021-27,-1.0
2021-28,-1.0
2021-29,-1.0
2021-30,-1.0
2021-31,-1.0
2021-32,-1.0
2021-33,-1.0
2021-34,-1.0
2021-35,-1.0
2021-36,-1.0
2021-37,-1.0
2021-38,-0.75
2021-39,-0.75
2021-40,-0.75
2021-41,-0.75
2021-42,-0.75
2021-43,-0.75
2021-44,-0.75
2021-45,-0.75
2021-46,-0.75
2021-47,-0.75
2021-48,-0.75
2021-49,-0.75
2021-50,-0.5
2021-51,-0.5
2021-52,-0.5
2022-01,-0.5
2022-02,-0.5
2022-03,-0.5
2022-04,-0.5
2022-05,-0.5
2022-06,-0.5
2022-07,-0.5
2022-08,-0.5
2022-09,-0.5
2022-10,-0.5
2022-11,-0.5
2022-12,-0.25
2022-13,-0.25
2022-14,-0.25
2022-15,-0.25
2022-16,-0.25
2022-17,-0.25
2022-18,-0.25
2022-19,-0.25
2022-20,-0.25
2022-21,-0.25
2022-22,-0.25
2022-23,-0.25
2022-24,-0.25
2022-25,0.25
2022-26,0.25
2022-27,0.25
2022-28,0.25
2022-29,0.25
2022-30,0.25
2022-31,0.25
2022-32,0.25
2022-33,0.75
2022-34,0.75
2022-35,0.75
2022-36,0.75
2022-37,0.75
2022-38,1.25
2022-39,1.25
2022-40,1.25
2022-41,1.25
2022-42,1.25
2022-43,1.25
2022-44,1.5
2022-45,1.5
2022-46,1.5
2022-47,1.5
2022-48,1.5
2022-49,1.5
2022-50,1.75
2022-51,1.75
2022-52,1.75
2023-01,1.75
2023-02,1.75
2023-03,1.75
2023-04,1.75
2023-05,1.75
2023-06,1.75
2023-07,1.75
2023-08,1.75
2023-09,1.75
2023-10,1.75
2023-11,1.75
2023-12,2.0
2023-13,2.0
2023-14,2.0
2023-15,2.0
2023-16,2.0
2023-17,2.0
2023-18,2.25
2023-19,2.25
2023-20,2.25
2023-21,2.25
2023-22,2.25
2023-23,2.25
2023-24,2.25
2023-25,2.75
2023-26,2.75
2023-27,2.75
2023-28,2.75
2023-29,2.75
2023-30,2.75
2023-31,2.75
2023-32,2.75
2023-33,3.0
2023-34,3.0
2023-35,3.0
2023-36,3.0
2023-37,3.0
2023-38,3.25
2023-39,3.25
2023-40,3.25
2023-41,3.25
2023-42,3.25
2023-43,3.25
2023-44,3.25
2023-45,3.25
2023-46,3.25
2023-47,3.25
2023-48,3.25
2023-49,3.25
2023-50,3.5
2023-51,3.5
2023-52,3.5
2024-01,3.5
2024-02,3.5
2024-03,3.5
2024-04,3.5
2024-05,3.5
2024-06,3.5
2024-07,3.5
2024-08,3.5
2024-09,3.5
2024-10,3.5
2024-11,3.5
2024-12,3.5
2024-13,3.5
2024-14,3.5
2024-15,3.5
2024-16,3.5
2024-17,3.5
2024-18,3.5
2024-19,3.5
2024-20,3.5
2024-21,3.5
2024-22,3.5
2024-23,3.5
2024-24,3.5
2024-25,3.5
2024-26,3.5
2024-27,3.5
2024-28,3.5
2024-29,3.5
2024-30,3.5
2024-31,3.5
2024-32,3.5
2024-33,3.5
2024-34,3.5
2024-35,3.5
2024-36,3.5
2024-37,3.5
2024-38,3.5
2024-39,3.5
2024-40,3.5
2024-41,3.5
2024-42,3.5
2024-43,3.5
2024-44,3.5
2024-45,3.5
2024-46,3.5
2024-47,3.5
2024-48,3.5
2024-49,3.5
2024-50,3.5
2024-51,3.5
2024-52,3.5
2025-01,3.5
2025-02,3.5
2025-03,3.5
2025-04,3.5
2025-05,3.5
2025-06,3.5
2025-07,3.5
2025-08,3.5
2025-09,3.5
